partida_id,rodada,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
5035,5,Sport,16,0,67.0,597,,11,2,0,4,7
5035,5,Goiás,9,0,33.0,296,,13,4,0,1,3
5036,5,Internacional,5,0,43.0,354,,13,4,0,1,2
5036,5,Palmeiras,15,0,57.0,456,,15,1,0,3,9
5038,6,Flamengo,18,0,64.0,437,,13,1,0,2,5
5038,6,Chapecoense,6,0,36.0,262,,12,0,1,1,1
5037,6,Cruzeiro,11,0,36.0,268,,13,0,0,2,6
5037,6,Atlético Mineiro,14,0,64.0,462,,12,0,0,3,7
5039,6,Santos,18,0,52.0,451,,17,2,0,2,6
5039,6,Ponte Preta,19,0,48.0,416,,15,2,0,3,2
5041,6,Corinthians,13,0,49.0,430,,9,1,0,0,5
5041,6,Joinville,14,0,51.0,432,,8,1,0,1,9
5040,6,Athletico Paranaense,13,0,45.0,380,,15,4,0,2,7
5040,6,Vasco da Gama,14,0,55.0,480,,7,3,0,2,3
5042,6,Grêmio,9,0,40.0,436,,14,2,0,1,3
5042,6,São Paulo,13,0,60.0,631,,19,3,0,2,4
5043,6,Coritiba,18,0,49.0,401,,16,5,0,4,11
5043,6,Internacional,12,0,51.0,424,,5,3,1,2,3
5045,6,Avaí,11,0,44.0,401,,17,4,0,2,2
5045,6,Goiás,8,0,56.0,496,,15,2,0,4,6
5046,6,Sport,7,1,53.0,479,,10,2,0,0,5
5046,6,Fluminense,15,4,47.0,408,,12,3,0,3,7
5044,6,Figueirense,7,0,33.0,253,,22,3,0,7,2
5044,6,Palmeiras,13,0,67.0,506,,14,3,0,3,4
5047,7,Atlético Mineiro,18,0,63.0,520,,8,1,0,4,12
5047,7,Santos,10,0,37.0,320,,15,4,0,4,5
5050,7,Internacional,12,0,52.0,427,,9,2,0,1,7
5050,7,Corinthians,13,0,48.0,392,,10,0,0,4,4
5049,7,Chapecoense,15,0,60.0,460,,5,2,0,3,7
5049,7,São Paulo,5,0,40.0,322,,29,4,0,1,3
5048,7,Coritiba,12,0,57.0,478,,17,2,0,0,8
5048,7,Flamengo,8,0,43.0,380,,14,3,1,2,2
5051,7,Joinville,21,0,53.0,417,,13,4,0,2,6
5051,7,Sport,10,0,47.0,379,,10,0,0,7,3
5052,7,Cruzeiro,8,0,40.0,362,,25,4,0,1,0
5052,7,Vasco da Gama,14,0,60.0,536,,13,2,0,3,6
5053,7,Ponte Preta,16,0,62.0,430,,24,3,0,3,5
5053,7,Goiás,17,0,38.0,279,,19,3,0,1,6
5055,7,Fluminense,6,3,32.0,283,,13,6,2,0,2
5055,7,Palmeiras,25,11,68.0,564,,6,0,0,1,7
5054,7,Figueirense,9,0,42.0,229,,26,3,0,4,2
5054,7,Avaí,8,0,58.0,304,,14,4,0,0,5
5056,7,Athletico Paranaense,12,0,44.0,344,,22,4,0,0,7
5056,7,Grêmio,20,0,56.0,428,,8,1,0,6,13
5057,8,Figueirense,14,0,39.0,267,,16,4,0,2,4
5057,8,Internacional,14,0,61.0,425,,18,2,0,0,4
5058,8,Sport,12,0,46.0,425,,10,2,0,1,4
5058,8,Vasco da Gama,9,0,54.0,482,,12,3,0,0,4
5059,8,Atlético Mineiro,8,0,46.0,457,,14,0,1,1,3
5059,8,Flamengo,12,0,54.0,504,,8,0,0,1,4
5060,8,Corinthians,10,0,59.0,502,,17,3,1,1,7
5060,8,Santos,10,0,41.0,351,,19,4,1,4,6
5061,8,Palmeiras,14,0,51.0,476,,9,3,0,0,7
5061,8,Grêmio,12,0,49.0,485,,11,4,0,7,1
5062,8,Chapecoense,6,0,38.0,323,,16,3,0,1,4
5062,8,Cruzeiro,14,0,62.0,526,,9,4,0,2,5
5063,8,Goiás,15,0,52.0,394,,12,4,1,2,11
5063,8,Joinville,12,0,48.0,377,,13,4,1,0,3
5065,8,Avaí,13,0,42.0,314,,13,5,0,1,9
5065,8,São Paulo,16,0,58.0,414,,14,1,0,9,9
5064,8,Athletico Paranaense,17,0,51.0,381,,10,2,0,4,2
5064,8,Coritiba,15,0,49.0,384,,20,3,2,2,3
5066,8,Fluminense,21,6,48.0,452,,16,2,0,1,3
5066,8,Ponte Preta,11,3,52.0,473,,18,3,0,0,6
5067,9,Avaí,12,0,50.0,375,,14,3,0,1,12
